"model","feature","feature_bin","total","correct","proportion_correct"
"SBM","pagerank_HL",6,1545,996,0.644660194174757
"SBM","pagerank_LL",1,1545,638,0.41294498381877
"SBM","pagerank_LL",2,1545,1127,0.729449838187702
"SBM","pagerank_LL",3,1545,1163,0.752750809061489
"SBM","pagerank_LL",4,1544,1116,0.72279792746114
"SBM","pagerank_LL",5,1545,1009,0.653074433656958
"SBM","pagerank_LL",6,1545,852,0.551456310679612
"SBM","preferential_attachment",1,1545,0,0
"SBM","preferential_attachment",2,1545,624,0.403883495145631
"SBM","preferential_attachment",3,1545,1196,0.77411003236246
"SBM","preferential_attachment",4,1544,1282,0.830310880829015
"SBM","preferential_attachment",5,1545,1353,0.875728155339806
"SBM","preferential_attachment",6,1545,1450,0.938511326860841
"SBM","shortest_path_length",1,1545,75,0.0485436893203883
"SBM","shortest_path_length",2,1545,669,0.433009708737864
"SBM","shortest_path_length",3,1545,1309,0.847249190938511
"SBM","shortest_path_length",4,1544,1317,0.852979274611399
"SBM","shortest_path_length",5,1545,1316,0.851779935275081
"SBM","shortest_path_length",6,1545,1219,0.788996763754045
